0 3855 111100001111 1111 1111 6.1823e-10
1 3863 111100010111 1111 10111 2.26311e-06
2 3867 111100011011 1111 11011 2.26173e-06
3 3869 111100011101 1111 11101 -3.66179e-06
4 3870 111100011110 1111 11110 -3.66055e-06
5 3879 111100100111 1111 100111 2.26449e-06
6 3883 111100101011 1111 101011 2.26311e-06
7 3885 111100101101 1111 101101 -3.66303e-06
8 3886 111100101110 1111 101110 -3.66179e-06
9 3891 111100110011 1111 110011 3.09115e-09
10 3893 111100110101 1111 110101 3.66179e-06
11 3894 111100110110 1111 110110 3.65903e-06
12 3897 111100111001 1111 111001 3.66455e-06
13 3898 111100111010 1111 111010 3.66179e-06
14 3900 111100111100 1111 111100 2.47292e-09
15 3911 111101000111 1111 1000111 3.66179e-06
16 3915 111101001011 1111 1001011 3.66055e-06
17 3917 111101001101 1111 1001101 -5.9249e-06
18 3918 111101001110 1111 1001110 -5.92352e-06
19 3923 111101010011 1111 1010011 3.66179e-06
20 3925 111101010101 1111 1010101 6.46655e-11
21 3926 111101010110 1111 1010110 -2.26305e-06
22 3929 111101011001 1111 1011001 5.92497e-06
23 3930 111101011010 1111 1011010 3.66124e-06
24 3932 111101011100 1111 1011100 3.66179e-06
25 3939 111101100011 1111 1100011 3.65903e-06
26 3941 111101100101 1111 1100101 -5.92484e-06
27 3942 111101100110 1111 1100110 -8.18486e-06
28 3945 111101101001 1111 1101001 -2.40825e-09
29 3946 111101101010 1111 1101010 -2.26305e-06
30 3948 111101101100 1111 1101100 3.65903e-06
31 3953 111101110001 1111 1110001 -5.9249e-06
32 3954 111101110010 1111 1110010 -5.92352e-06
33 3956 111101110100 1111 1110100 -3.66179e-06
34 3960 111101111000 1111 1111000 -3.66055e-06
35 3975 111110000111 1111 10000111 3.66303e-06
36 3979 111110001011 1111 10001011 3.66179e-06
37 3981 111110001101 1111 10001101 -5.92628e-06
38 3982 111110001110 1111 10001110 -5.9249e-06
39 3987 111110010011 1111 10010011 3.66456e-06
40 3989 111110010101 1111 10010101 2.26318e-06
41 3990 111110010110 1111 10010110 -2.40825e-09
42 3993 111110011001 1111 10011001 8.19117e-06
43 3994 111110011010 1111 10011010 5.92497e-06
44 3996 111110011100 1111 10011100 3.66455e-06
45 4003 111110100011 1111 10100011 3.66179e-06
46 4005 111110100101 1111 10100101 -3.66234e-06
47 4006 111110100110 1111 10100110 -5.92484e-06
48 4009 111110101001 1111 10101001 2.26318e-06
49 4010 111110101010 1111 10101010 6.46655e-11
50 4012 111110101100 1111 10101100 3.66179e-06
51 4017 111110110001 1111 10110001 -5.92628e-06
52 4018 111110110010 1111 10110010 -5.9249e-06
53 4020 111110110100 1111 10110100 -3.66303e-06
54 4024 111110111000 1111 10111000 -3.66179e-06
55 4035 111111000011 1111 11000011 2.47292e-09
56 4037 111111000101 1111 11000101 3.66179e-06
57 4038 111111000110 1111 11000110 3.65903e-06
58 4041 111111001001 1111 11001001 3.66456e-06
59 4042 111111001010 1111 11001010 3.66179e-06
60 4044 111111001100 1111 11001100 3.09115e-09
61 4049 111111010001 1111 11010001 3.66179e-06
62 4050 111111010010 1111 11010010 3.66055e-06
63 4052 111111010100 1111 11010100 2.26311e-06
64 4056 111111011000 1111 11011000 2.26173e-06
65 4065 111111100001 1111 11100001 3.66303e-06
66 4066 111111100010 1111 11100010 3.66179e-06
67 4068 111111100100 1111 11100100 2.26449e-06
68 4072 111111101000 1111 11101000 2.26311e-06
69 4080 111111110000 1111 11110000 6.1823e-10
70 5903 1011100001111 10111 1111 2.26311e-06
71 5911 1011100010111 10111 10111 0.00477457
72 5915 1011100011011 10111 11011 0.00476951
73 5917 1011100011101 10111 11101 -0.00772542
74 5918 1011100011110 10111 11110 -0.0077209
75 5927 1011100100111 10111 100111 0.00477963
76 5931 1011100101011 10111 101011 0.00477457
77 5933 1011100101101 10111 101101 -0.00772995
78 5934 1011100101110 10111 101110 -0.00772542
79 5939 1011100110011 10111 110011 1.13156e-05
80 5941 1011100110101 10111 110101 0.00772542
81 5942 1011100110110 10111 110110 0.0077153
82 5945 1011100111001 10111 111001 0.00773554
83 5946 1011100111010 10111 111010 0.00772542
84 5948 1011100111100 10111 111100 9.05244e-06
85 5959 1011101000111 10111 1000111 0.00772542
86 5963 1011101001011 10111 1001011 0.0077209
87 5965 1011101001101 10111 1001101 -0.0125
88 5966 1011101001110 10111 1001110 -0.0124949
89 5971 1011101010011 10111 1010011 0.00772542
90 5973 1011101010101 10111 1010101 3.47313e-07
91 5974 1011101010110 10111 1010110 -0.00477423
92 5977 1011101011001 10111 1011001 0.0125003
93 5978 1011101011010 10111 1011010 0.00772351
94 5980 1011101011100 10111 1011100 0.00772542
95 5987 1011101100011 10111 1100011 0.0077153
96 5989 1011101100101 10111 1100101 -0.0124996
97 5990 1011101100110 10111 1100110 -0.0172629
98 5993 1011101101001 10111 1101001 -8.70513e-06
99 5994 1011101101010 10111 1101010 -0.00477423
100 5996 1011101101100 10111 1101100 0.0077153
101 6001 1011101110001 10111 1110001 -0.0125
102 6002 1011101110010 10111 1110010 -0.0124949
103 6004 1011101110100 10111 1110100 -0.00772542
104 6008 1011101111000 10111 1111000 -0.0077209
105 6023 1011110000111 10111 10000111 0.00772995
106 6027 1011110001011 10111 10001011 0.00772542
107 6029 1011110001101 10111 10001101 -0.0125051
108 6030 1011110001110 10111 10001110 -0.0125
109 6035 1011110010011 10111 10010011 0.00773554
110 6037 1011110010101 10111 10010101 0.00477492
111 6038 1011110010110 10111 10010110 -8.70513e-06
